transactionId,serviceProvider,buyerId,buyerZip,shippingZip,purchaseTimestamp,itemCode,itemCount,lineNumber,itemPrice,shippingFee,transactionLineId,productCode,merchantCode,itemName,paymentType,totalPaid,platformCode
PH12345678,Lazada,1001,1001,1001,2023-05-15T10:15:00+08:00,345678,1,1,35000.00,150.00,234567,123456,10,Samsung Galaxy S21,GCash,35000,LAZADA
PH87654321,Shopify,2000,2000,2000,2023-06-20T14:30:00+08:00,456789,2,1,7000.00,200.00,345678,234567,20,Nike Air Max,COD,14000,SHOPEE
PH11223344,Lazapee,3000,4000,4000,2023-07-10T08:45:00+08:00,567890,1,1,120000.00,500.00,456789,345678,30,Apple MacBook Pro,Credit Card,120000,LAZADA
PH44556677,Shopida,4000,6000,6000,2023-08-01T12:00:00+08:00,678901,1,1,30000.00,300.00,567890,456789,40,Sony PlayStation 5,PayMaya,30000,SHOPEE
PH55667788,Lazada,5000,5000,5000,2023-09-05T09:15:00+08:00,789012,1,1,45000.00,250.00,678901,567890,50,Dell Inspiron 15,Bank Transfer,45000,LAZADA
PH66778899,Shopee,6000,3000,3000,2023-10-12T11:30:00+08:00,890123,1,1,55000.00,300.00,789012,678901,60,HP Envy 13,Credit Card,55000,SHOPEE
PH77889900,Lazada,7000,7000,7000,2023-11-20T15:45:00+08:00,901234,1,1,80000.00,400.00,890123,789012,70,Asus ROG Strix,Paypal,80000,LAZADA
PH88990011,Shopee,8000,8000,8000,2023-12-01T13:00:00+08:00,123456,1,1,70000.00,350.00,901234,890123,80,Acer Predator,GCash,70000,SHOPEE
PH99001122,Amazon,9000,1200,1200,2024-01-05T09:00:00+08:00,456789,2,1,12000.00,200.00,678910,112233,90,Bose Headphones,Credit Card,24000,AMAZON
PH11223355,Alibaba,7000,4002,4002,2024-02-20T11:15:00+08:00,556677,1,1,45000.00,500.00,334455,445566,100,LG Refrigerator,Bank Transfer,45000,ALIBABA
